UTC Time;Battery Voltage (V);Engine RPM
0022-03-14T17:03:35;13,3125;4717
0022-03-14T17:03:45;13,375;4713
0022-03-14T17:03:55;13,3125;4698
0022-03-14T17:04:05;13,4375;4683
0022-03-14T17:04:15;13,3125;4698
0022-03-14T17:04:25;13,3125;4707
0022-03-14T17:04:35;13,3125;4717
0022-03-14T17:04:45;13,3125;4307
0022-03-14T17:04:55;13,3125;4345
0022-03-14T17:05:05;13,4375;4345
0022-03-14T17:05:15;13,3125;4358
0022-03-14T17:05:25;13,3125;4295
0022-03-14T17:05:35;13,375;4293
0022-03-14T17:05:45;13,3125;4291
0022-03-14T17:05:55;13,375;4316
0022-03-14T17:06:05;13,375;4328
0022-03-14T17:06:15;13,375;4312
0022-03-14T17:06:25;13,375;4307
0022-03-14T17:06:35;13,4375;4341
0022-03-14T17:06:45;13,25;4341
0022-03-14T17:06:55;13,4375;4320
0022-03-14T17:07:05;13,3125;4320
0022-03-14T17:07:15;13,25;4376
0022-03-14T17:07:25;13,375;4371
0022-03-14T17:07:35;13,3125;4367
0022-03-14T17:07:45;13,3125;4350
0022-03-14T17:07:55;13,375;4350
0022-03-14T17:08:05;13,5;4333
0022-03-14T17:08:15;13,25;4316
0022-03-14T17:08:25;13,25;4320
0022-03-14T17:08:35;13,4375;4334
0022-03-14T17:08:45;13,3125;4446
0022-03-14T17:08:55;13,3125;4410
0022-03-14T17:09:05;13,375;4415
0022-03-14T17:09:15;13,375;4512
0022-03-14T17:09:25;13,4375;4505
0022-03-14T17:09:35;13,4375;4481
0022-03-14T17:09:45;13,3125;4473
0022-03-14T17:09:55;13,3125;4468
0022-03-14T17:10:05;13,3125;4446
0022-03-14T17:10:15;13,3125;4460
0022-03-14T17:10:25;13,375;4468
0022-03-14T17:10:35;13,3125;4503
0022-03-14T17:10:45;13,3125;4473
0022-03-14T17:10:55;13,3125;4494
0022-03-14T17:11:05;13,375;4516
0022-03-14T17:11:15;13,3125;4520
0022-03-14T17:11:25;13,5;4509
